"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-08,10183,monthly,97.45,2006-08-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-08,5071,monthly,110.93,2006-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-08,14509,monthly,102.96,2006-08-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-08,10642,monthly,98.26,2006-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-08,11109,monthly,102.73,2006-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-09,9765,monthly,96.51,2006-09-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-09,5510,monthly,112.35,2006-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-09,14490,monthly,103.89,2006-09-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-09,10435,monthly,98.73,2006-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-09,11107,monthly,102.85,2006-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-10,9446,monthly,97.5,2006-10-01
